english_w,tulu_w
I am busy now.,ಇತ್ತೆ ಯಾನ್ ಬಿಜಿ ಉಲ್ಲೆ.
Don’t worry.,ಎತೆ ಮಲ್ಪಡೆ.
Take care.,ಜಾಗ್ರತೆ.
See you later.,ನಿಕ್ಕು ಬೊಕ ತಿಕ್ವೆ.
buttermilk,ಮಜ್ಜಿಗೆ
curd,ದೋಸೆ
butter,ಬೊಳ್ ನೈ
ghee,ತುಪ್ಪ
honey,ತಿಗತ ನೈ
salt,ಉಪ್ಪು
pepper,ಎಡ್ದೆ ಮುಂಚಿ
chili,ಮೆಣಸಿನಕಾಯಿ
spice,ಮಸಾಲೆ
curry,ಕಜಿಪು
vegetable,ತರ್ಕಾರಿ
fruit,ಪರ್ ನ್ದ್
banana,ಪರ್ನ್ದು
mango,ಮಾವಿನ
jackfruit,ಜಾಕ್ ಫ್ರುಟ್
coconut,ತಾರಾಯಿ
orange,ಕಿತ್ತಲೆ
apple,ಸೇಬ್
grapes,ದ್ರಾಕ್ಷಿ
lemon,ನಿಂಬೆ
sugarcane,ಕಬ್ಬು
potato,ಬಟಾಟೆ
tomato,ಟೊಮೆಟೊ
onion,ನೀರುಳ್ಳಿ
garlic,ಬೊಳ್ಳುಳ್ಳಿ
ginger,ಸೂಂಠಿ
carrot,ಕ್ಯಾರೆಟ್
beans,ಕಾಳು
brinjal,ಬೆನ್ನಿ
drumstick,ಡ್ರಮ್ಸ್ಟಿಕ್
pumpkin,ಕುಂಬುಡ
cabbage,ಕ್ಯಾಬೇಜ್
cauliflower,ಹೂಕೋಸು
ladyfinger,ಲೇಡಿಫಿಂಗರ್
spinach,ಬಸಳೆ
cucumber,ಕುಂಬುಡ
market,ಸಂತೆ
shop,ಅಂಗಡಿ
shopping,ಖರೀದಿ ಮಲ್ಪುನು
buy,ದೆತ್ತೊನ್
sell,ಮಾರುನು
money,ಕಾಸ್
price,ಬಿಲೆ
cheap,ಕಮ್ಮಿ ಕ್ರಯ
expensive,ಪಿರಿಯ
change,ಬದಲಾವನೆ
bargain,ಚರ್ಚೆ ಮಲ್ಪುನು
bill,ಬಿಲ್ಲ್
payment,ದುಡ್ಡು ಕೊರ್ಪುನಿ
cash,ಪಣವು
coin,ನಾಣ್ಯ
note,ಸೂಚನೆ
wallet,ಪರ್ಸ್
purse,ಪರ್ಸ್
bank,ದಡ
ATM,ಎಟಿಎಂ
borrow,ದೆತ್ತೊನ್ನು
lend,ಕೊರು
save,ಬಚಾವು
spend,ಖರ್ಚಿ
income,ಆದಾಯ
salary,ಸಂಬಳ
work,ಬೆಲೆ
job,ಕೆಲಸ
office,ಆಪೀಸ್
manager,ಮೇನೇಜರ್
employee,ನೌಕರೆ
boss,ಧಣಿ
colleague,ಒಟ್ಟುಗು ಬೇಲೆ ಮಲ್ಪುನಾಯೆ
meeting,ಸಭೆ
holiday,ರಜೆ
leave,ಬುಡ್ಲ
exam,ಪರೀಕ್ಷೆ
study,ಅಭ್ಯಾಸ
student,ವಿದ್ಯಾರ್ಥಿ
teacher,ಗುರುಕ್ಕುಲು
school,ಶಾಲೆ
college,ಕಾಲೇಜ್
university,ಮಲ್ಲ ವಿದ್ಯಾಸಂಸ್ಥೆ
subject,ವಿಷಯ
book,ಪುಸ್ತಕ
notebook,ನೋಟ್ಬುಕ್
pen,ಪೆನ್ನ್
pencil,ಪೆನ್ಸಿಲ್
eraser,ರಬ್ಬರು
sharpener,ಶಾರ್ಪನರ್
scale,ಮಾಪು
bag,ಚೀಲ
blackboard,ಕಪ್ಪು ಫಲಕ
chalk,ಸೀಮೆಸುಣ್ಣ
classroom,ಕ್ಲಾಸ್ ರೂಮ್
library,ಲೈಬ್ರೆರಿ
question,ಪ್ರಶ್ನೆ
answer,ಉತ್ತರ
test,ಪರೀಕ್ಷೆ
result,ಫಲಿತ
pass,ಪಾಸ್
fail,ನಪಾಸ್:
lesson,ಪಾಠ
chapter,ಅಧ್ಯಾಯ
knowledge,ಪೊಲಬು
learn,ಕಲ್ಪುನು
understand,ಅರ್ಥ ಆಂಡೆ
remember,ನೆನೆಪು
forget,ಮದಪುನು
repeat,ಕುಡಒರ
explain,ಬುಡ್ಪಾದ್ ಪನ್ಪಿನಿ
teach,ಕಲ್ಪಾವುನು
train,ರೈಲ್
practice,ಅಭ್ಯಾಸ
exercise,ಅಭ್ಯಾಸ
hospital,ಆಸ್ಪತ್ರೆ
doctor,ಡಾಕ್ಟ್ರು
nurse,ದಾದಿ
patient,ರೋಗಿ
medicine,ಮರ್ದ್
tablet,ಟ್ಯಾಬ್ಲೆಟ್
capsule,ಕ್ಯಾಪ್ಸುಲ್
injection,ಇಂಜೆಕ್ಷನ್
syrup,ಸಿರಪ್
treatment,ಉಪಚಾರ
surgery,ಆಪ್ರೇಷನ್
pain,ಬೇನೆ
fever,ಜ್ವರ
headache,ತರೆಬೇನೆ
cold,ಚಳಿ
cough,ತೆಮ್ಮ
vomit,ವಾಂತಿ
stomachache,ಪೊಟ್ಟೆ ಬೇನೆ
injury,ಗಾಯ
wound,ಗಾಯ
blood,ನೆತ್ತೆರ್
ambulance,ಆಂಬುಲೆನ್ಸ್
first aid,ಪ್ರಥಮ ಚಿಕಿತ್ಸೆ
pharmacy,ಔಷಧಾಲಯ
health,ಆರೋಗ್ಯ
disease,ಸೀಕ್
sick,ಸೀಕ್
well,ಏಡ್ಡೆ
strong,ಗಟ್ಟಿ
weak,ಬಲದಾಂತಿನ
alive,ಜೀವ ಉಪ್ಪುನು
dead,ಸೈದಿನಿ
life,ಬದ್ ಕ್
birth,ಪುಟ್ಟು
death,ಮರಣ
rain,ಬರ್ಸ
sun,ಸೂರ್ಯೆ
cloud,ಮೋಡ
wind,ಗಾಳಿ
storm,ಬಿರುಗಾಳಿ
lightning,ಮಿಂಚ್ ದಕ್ಕುನು
thunder,ತೆಡಿಲ್
flood,ಬೊಲ್ಲ
earthquake,ಭೂಕಂಪ
summer,ಅರೆಗಾಲ
winter,ಚಳಿಗಾಲ
monsoon,ಮಳೆಗಾಲ
hot,ಬೆಚ್ಚ
cold,ಚಳಿ
warm,ಬೆಚ್ಚ
cool,ತಂಪು
climate,ಹವಾಗುಣ
weather,ಹವಾಮಾನ
season,ಕಾಲ
sea,ಕಡಲ್
river,ತುದೆ
lake,ಮಲ್ಲ ಕಿರೆ
pond,ಕೆದು
well,ಏಡ್ಡೆ
mountain,ಪರ್ವತ
hill,ಗುಡ್ಡೆ
valley,ಕಣಿ
forest,ಕಾಡ್
tree,ಮರ
plant,ದೈ
leaf,ಇರೆ
flower,ಪೂ
fruit,ಪರ್ ನ್ದ್
seed,ಬೀಜ
root,ಬೇರ್
branch,ಗೆಲ್ಲ್
animal,ಪ್ರಾಣಿ
cow,ಪೆತ್ತ
buffalo,ಎಮ್ಮೆ
goat,ಏಡ್
sheep,ಕುರಿ
pig,ಪಂಜಿ
horse,ಕುದುರೆ
camel,ಒಂಟೆ
dog,ನಾಯಿ
cat,ಪುಚ್ಚೆ
hen,ಕೋರಿ
duck,ಬಾತುಕೋಳಿ
parrot,ಗಿಣಿ
crow,ಕಕ್ಕೆ
sparrow,ಕುದುರೆ
peacock,ನವಿಲು
pigeon,ಪುದ
ant,ಇರುವೆ
bee,ತೊಡ್ಡೆ
butterfly,ಚಿಟ್ಟೆ
mosquito,ಸೊಳ್ಳೆ
fly,ರಾಪಿನಿ
snake,ಪರಪುನ
tiger,ಪಿಲಿ
lion,ಸಿಮ
elephant,ಆನೆ
monkey,ಮಂಗೆ
fox,ಕುದುಕೆ
wolf,ಮಲ್ಲ ಕುದುಕೆ
bear,ತುತ್ತೊಂನ
deer,ಜಿಂಕೆ
rat,ಎಲಿ
frog,ಕಪ್ಪೆ
fish,ಮೀನ್
shark,ಶಾರ್ಕ್
turtle,ಏಮೆ
crab,ಜೆಂಜಿ
octopus,ಆಕ್ಟೋಪಸ್
emotion,ಭಾವನೆ
happy,ಸಂತೋಷ
sad,ದುಃಖ
angry,ಕೋಪ
afraid,ಪೋಡಿಗೆ
worried,ಎತೆತ್ತ
confused,ತತ್ತಿರಿಬಿತ್ತಿರಿ
surprised,ಆಶ್ಚರ್ಯ
excited,ಸಂಭ್ರಮ
nervous,ಪೋಡಿಗೆ
jealous,ನಂಜಿ
proud,ಪೆರ್ಮೆ
relaxed,ರಿಲಾಕ್ಸ್ ಆಯಿನ
tired,ಸಾಕಾಂಡು
bored,ಬೆಸರ್
hungry,ಬಡವು
thirsty,ಬಾಜೆಲ್
sleepy,ಜೆಪ್ಪುನ
festival,ಪರ್ಬ
marriage,ಮದ್ಮೆ
wedding,ಮದಿಮೆದ
birthday,ಪುಟ್ಟಿನ ದಿನ
ceremony,ಕಾರ್ಯಕ್ರಮ
dance,ನಲ್ಪು
song,ಪದ್ಯ
music,ಪದ್ಯ
drum,ಡ್ರಮ್
temple,ದೇವಸ್ಥಾನ
church,ಚರ್ಚ್
mosque,ಮಸೀದಿ
prayer,ಪ್ರಾರ್ಥನೆ
god,ದೇವೆರ್
goddess,ದೇವತೆ
idol,ಮೂರ್ತಿ
ritual,ಆಚರಣೆ
tradition,ಸಂಪ್ರದಾಯೊ
culture,ಸಂಸ್ಕೃತಿ
language,ಭಾಷೆ
people,ಜನ
village,ಗ್ರಾಮ
town,ಪೇಂಟೆ
city,ಪೇಂಟೆ
country,ದೇಶ
nation,ರಾಷ್ಟ್ರ
flag,ಬಾವುಟ
freedom,ಸ್ವಾತಂತ್ರ್ಯ
independence,ಸ್ವಾತಂತ್ರ್ಯ
law,ಕಾನೂನು
rule,ನಿಯಮೊ
police,ಪೋಲಿಸ್
court,ಕೋರ್ಟು
judge,ಜಡ್ಜ್
case,ಪ್ರಕರಣ
crime,ಅಪರಾಧ
punishment,ಶಿಕ್ಷೆ
help,ಸಹಾಯೊ
save,ಬಚಾವು
danger,ಅಪಾಯ
fire,ತೂ
accident,ಆಕ್ಸಿಡೆಂಟ್
alert,ಜಾಗ್ರತೆ
stop,ಉಂತವು
run,ಬಲ್ಪು
come here,ಈಡೆ ಬಲೆ
go there,ಅಲ್ಪ ಪೋಲೆ
sit down,ಕುಲ್ಲುಲೆ
stand up,ಉಂತುಲೆ
be careful,ಜಾಗ್ರತೆಡು ಉಪ್ಲ
don’t worry,ಎತೆ ಮಲ್ಪಡೆ
don’t do that,ಅವೆನ್ ಮಲ್ಪುಜೆರ್
take care,ಜಾಗ್ರತೆ
what happened?,ದಾದ ಆಂಡ್?
nothing,ದಾಲಇಜ್ಜಿ
it’s okay,ಅವ್ವು ಆವು
let’s go,ಪೋವೊಡು
wait a minute,ಒಂಜಿ ನಿಮಿಷ ನಿಲೆ
call me,ಏನನ್ ಲೆಪ್ಲ
I am busy,ಯಾನ್ ಬಿಜಿ ಉಲ್ಲೆ
I am free,ಯಾನ್ ಸ್ವತಂತ್ರ
I am tired,ಎಂಕ್ ದಣಿದ್ಂಡ್
I am happy,ಯಾನ್ ಸಂತೋಷೊಡು ಉಲ್ಲೆ
I am hungry,ಎಂಕ್ ಬಡವು ಉಂಡು
I am thirsty,ಎಂಕ್ ಬಾಸೆ ಉಂಡು
I am sleepy,ಎಂಕ್ ನಿದ್ರೆ ಬರ್ಪುಂಡು
I am not feeling well,ಎಂಕ್ ಎಡ್ಡೆ ಇಜ್ಜಿ
I need help,ಎಂಕ್ ಸಹಾಯ ಬೋಡು
I need water,ಎಂಕ್ ನೀರ್ ಬೋಡು
I need medicine,ಎಂಕ್ ಮರ್ದ್ ಬೋಡು
Can you help me?,ಈರ್ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪೊಲಿಯಾ?
Can you speak slowly?,ಈರ್ ನಿಧಾನವಾದ್ ಪಾತೆರೊಲಿಯಾ?
Can you repeat that?,ಈರ್ ಅವೆನ್ ಪುನರಾವರ್ತಿಸೊಲಿ?
Do you understand?,ನಿಕ್ಲೆಗ್ ಅರ್ಥ ಆಂಡ್?
"Yes, I understand","ಐನ್, ಎಂಕ್ ಅರ್ಥ ಆಂಡ್"
"No, I don’t understand","ಇಜ್ಜಿ, ಎಂಕ್ ಅರ್ಥ ಆಪುಜಿ"
Where are you from?,ಯೀರೆಗು ಒಲ್ಪ ಆಂಡ್?
I am from Mangalore,ಯಾನ್ ಕುಡ್ಲದ
What is your age?,ನಿಕ್ಲೆನ ಪ್ರಾಯ ಎಂಚ ಉಂಡು?
I am 19 years old,ಎಂಕ್ 19 ವರ್ಷ
Are you coming tomorrow?,ಈರ್ ನಾಳೆ ಬರ್ಪರ್?
I will come today,ಯಾನ್ ಇನಿ ಬರ್ಪೆ
I will not come,ಯಾನ್ ಬರ್ಪುಜಿ
See you later,ನಿಕ್ಕು ಬೊಕ ತಿಕ್ವೆ
See you soon,ನಿನ್ನ ಮಗನ್ ತೂಲ
Good luck,ಎಡ್ಡೆ ಆವಡ್
Best wishes,ಎಡ್ಡೆಪ್ಪುಲು
Congratulations,ಅಭಿನಂದನೆಲು
Happy birthday,ಸಂತೋಷದ ಪುಟ್ಟಿನ ಪರ್ಬ
Happy marriage,ಮದಿಮೆದ ಎಡ್ಡೆಪ್ಪು
Happy festival,ಪರ್ಬದ ಎಡ್ಡೆಪ್ಪುಲು
Thank you very much,ಇರೆಗ್ ಮಸ್ತ್ ಸೊನ್ಮೆಲು
No problem,ಮಲ್ಲೆಜ್ಜಿ
Excuse me please,ಕ್ಷಮೆ ಮಲ್ಪುಲೆ ದಯಮಲ್ತ್
How much does it cost?,ಉಂದೆಕ್ ಎಂಚ ಖರ್ಚು ಆಪುಂಡು?
Give me discount,ಎಂಕ್ ರಿಯಾಯಿತಿ ಕೊರ್ಲೆ
This is expensive,ಉಂದು ದುಬಾರಿ
This is cheap,ಉಂದು ಅಗ್ಗ
I don’t want this,ಎಂಕ್ ಉಂದು ಬೋಡುಜಿ
I want this,ಎಂಕ್ ಉಂದು ಬೋಡು
Where is the bus stop?,ಬಸ್ ನಿಲ್ದಾಣ ಎಲ್ಲಿ ಉಂಡು?
Where is the station?,ನಿಲ್ದಾಣ ಎಲ್ಲಿ ಉಂಡು?
Where is the hospital?,ಆಸ್ಪತ್ರೆ ಎಲ್ಲಿ ಉಂಡು?
Where is the school?,ಶಾಲೆ ಎಲ್ಲಿ ಉಂಡು?
Where is the temple?,ದೇವಸ್ಥಾನ ಎಲ್ಲೆ ಉಂಡು?
How do I go there?,ಯಾನ್ ಅಲ್ಪ ಎಂಚ ಪೋವೊಲಿ?
Turn left,ಎಡತ್ತ್ ಪೋಲೆ
Turn right,ಬಲತ್ತ ಕಡೆಟ್ ಪೋಲೆ
Go straight,ಸೀದಾ ಪೋಲೆ
Stop here,ಮುಲ್ಪ ನಿಲೆ
It is near,ಉಂದು ಸಮೀಪ ಉಂಡು
It is far,ಉಂದು ದೂರ ಉಂಡು
I am going home,ಯಾನ್ ಇಲ್ಲಗ್ ಪೋವೊಂದುಲ್ಲೆ
I am coming now,ಯಾನ್ ಇತ್ತೆ ಬರ್ಪೆ
I am waiting for you,ಯಾನ್ ನಿಕ್ಲೆಗ್ ಕಾತೊಂದುಲ್ಲೆ
Please wait,ದಯಮಲ್ತ್ ನಿರೀಕ್ಷೆ ಮಲ್ಪುಲೆ
I am working,ಯಾನ್ ಬೇಲೆ ಮಲ್ತೊಂದುಲ್ಲೆ
